ref,price by Wh,type,dimension,gamme puissance,efficacite,poids,region,prix theorique
AE SolarAE MD-144 530-550W,0.298,PERC,2278x1133x35,530 ~ 550,20.6 ~ 21.31,27,Pologne,157.94
TM Series 530-550W BIF,0.291,"Bifacial, PERC",2279x1134x35,530 ~ 550,20.56 ~ 21.28,26.5,Espagne,154.23
Phono SolarTwinPlus 535-555 Mono-PERC,0.300,PERC,2278x1134x35,535 ~ 555,20.71 ~ 21.48,29,Italie,160.5
BETA 440,0.350,Monocristallin,1722x1134x35,440,23.5,21,Italie,154.0
IBS72P 325-345W,0.275,Polycristallin,1956x992x35,325 ~ 345,16.75 ~ 17.78,20.5,Espagne,89.37500000000001
Black Panther RCM-430-450-6MF,0.228,PERC,2108x1048x35,430 ~ 450,19.5 ~ 20.3,24,France,98.04
MSMD - HD60NBG Power 375-400W,0.300,Bifacial,1773x1046x30,375 ~ 400,20.22 ~ 21.57,24,Allemagne,112.5
AE SolarAE MD-120 440-460W,0.298,Monocristallin,1910x1133x35,440 ~ 460,20.33 ~ 21.26,24,Pologne,131.12
SL185-200-72M-B Black,0.190,Monocristallin,1580x808x45,180 ~ 200,14.5 ~ 15.7,15.5,Allemagne,34.2
JA SolarJAM72S20 445-470/MR,0.288,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Pologne,128.16
EurenerMEPV 60 GLASS∙GLASS 310-330,0.400,Bifacial,1678x1002x30,310 ~ 330,18.45 ~ 19.64,24,Italie,124.0
SE220M-20/A — SE250M-20/A,0.190,Monocristallin,1640x992x50,220 ~ 250,13.5 ~ 15.7,20,Allemagne,41.8
MSMD - HD72NBG Power 445-470W,0.300,Bifacial,2111x1046x30,445 ~ 470,20.15 ~ 21.29,28,Allemagne,133.5
GAMMA 375,0.320,Monocristallin,1755x1038x35,375,20.58,20.29,Italie,120.0
TM Series 650-670W BIF,0.248,"Bifacial, PERC",2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.5,Espagne,161.2
IBS72M All Black 380-390W,0.300,PERC,1956x992x40,380 ~ 390,19.59 ~ 20.09,21,Espagne,114.0
JA SolarJAM72S30 530-555/MR,0.295,Monocristallin,2278x1134x35,530 ~ 555,20.5 ~ 21.5,28.1,Pologne,156.35
Black Panther RCM-370-390-6MM,0.198,PERC,1925x1038x35,370 ~ 390,18.52 ~ 19.52,21.8,France,73.26
EurenerMEPV 144 Half-cut 430-460,0.345,Monocristallin,2108x1048x35,430 ~ 460,19.54 ~ 20.82,25,Italie,148.35
TM Series 360-375W ALL BLACK,0.255,PERC,1755x1038x30,360 ~ 375,19.76 ~ 20.59,--,Espagne,91.8
ZX235(48)MS — ZX265(48)MS,0.190,Monocristallin,1575x1082x45,235 ~ 265,13.79 ~ 15.55,22,Allemagne,44.65
IBS144M2 540-550W,0.290,PERC,2279x1134x35,540 ~ 550,20.89 ~ 21.28,28.9,Espagne,156.6
JA SolarJAM72S20 445-470/MR,0.290,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Espagne,129.04999999999998
Black Panther RCM-440-460-7ME,0.228,PERC,1909x1134x20,440 ~ 460,20.33 ~ 21.25,23.5,France,100.32000000000001
GAMMA 380,0.320,Monocristallin,1755x1038x35,380,20.85,20.29,Italie,121.60000000000001
Risen EnergyRSM156-6-430-455M,0.289,PERC,2178x996x40,430 ~ 455,19.8 ~ 21,25.5,Pologne,124.27
TM Series 390-410W ALL BLACK,0.252,PERC,1724x1134x30,390 ~ 405,19.95 ~ 20.72,21,Espagne,98.28
IBS144M -450BF Black Frame,0.285,PERC,2102x1040x35,450,20.58,24,Espagne,128.25
Black Panther RCM-530-550-7MF,0.238,PERC,2279x1134x35,530 ~ 550,20.51 ~ 21.28,29,France,126.14
GAMMA 390,0.330,Monocristallin,1755x1038x35,390,21.2,20.29,Italie,128.70000000000002
MSMD380-400M6-HJT120DS,0.300,HJT,1755x1038x30,380 ~ 400,20.9 ~ 22,23.5,Allemagne,114.0
GAMMA 400,0.340,Monocristallin,1755x1038x35,400,21.79,20.29,Italie,136.0
TM Series 430-450W ALL BLACK,0.252,PERC,2094x1038x35,430 ~ 445,19.8 ~ 20.7,25,Espagne,108.36
CSI SolarHiKu CS3N-400-425MS,0.290,PERC,1940x1048x35,400 ~ 425,19.7 ~ 20.9,22.5,Espagne,115.99999999999999
Black Panther RCM-530-550-7MF-SW,0.238,PERC,2279x1134x35,530 ~ 550,20.51 ~ 21.28,29,France,126.14
MSMD680-700G12-HJT132DS,0.300,HJT,2384x1303x35,680 ~ 700,21.89 ~ 22.53,38.7,Allemagne,204.0
Iberian SolarIBS144M -450BF Black Frame,0.280,PERC,2102x1040x35,450,20.58,24,Espagne,126.00000000000001
Black Panther RCM-390-410-7MG,0.249,PERC,1724x1134x20,390 ~ 410,19.95 ~ 20.97,21.5,France,97.11
TM Series 530-550W ALL BLACK,0.249,PERC,2279x1134x35,530 ~ 550,20.56 ~ 21.28,26.5,Espagne,131.97
Black Panther RCM-580-605-7MN,0.245,PERC,2443x1134x35,580 ~ 605,20.94 ~ 21.84,31,France,142.1
AE HM6-60 320-335W,0.359,Monocristallin,1690x996x35,320 ~ 335,19.01 ~ 19.9,19,Allemagne,114.88
MSMDxxxM12-60 485-510W,0.300,Monocristallin,2185x1096x35,485 ~ 510,20.1 ~ 21.2,26.5,Allemagne,145.5
TM Series 650-670W ALL BLACK,0.256,PERC,2384x1303x35,650 ~ 670,20.9 ~ 21.6,33.5,Espagne,166.4
Iberian SolarIBS144M2 540-550W,0.290,PERC,2279x1134x35,540 ~ 550,20.89 ~ 21.28,28.9,Espagne,156.6
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W,0.300,Monocristallin,1722x1134x30,410 ~ 430,21 ~ 22.02,22,Espagne,123.0
Black Panther RCM-385-405-8MO,0.238,PERC,1760x1096x35,385 ~ 405,19.96 ~ 21,21.5,France,91.63
MSMDxxxM6-66 166 M6 MWT 390W-410W,0.300,Monocristallin,1889x1035x30,390 ~ 410,19.9 ~ 21,20.5,Allemagne,117.0
MSMDxxxM6-72 166 M6 440W-460W Black F...,0.300,Monocristallin,2095x1039x35,440 ~ 460,20.2 ~ 21.1,24,Allemagne,132.0
Black Panther RCM-650-665-8MM,0.238,PERC,2384x1303x35,650 ~ 665,20.92 ~ 21.41,34,France,154.7
Lion RCM-380-400-6BHE,0.279,"HJT, Bifacial",1755x1038x30,380 ~ 400,20.9 ~ 22,23.5,France,106.02000000000001
CSI SolarBiHiKu7 CS7N-640-670MB-AG,0.310,"Bifacial, PERC",2384x1303x35,640 ~ 670,20.6 ~ 21.6,37.9,Espagne,198.4
MSMDxxxM6-72 166 M6 440W-460W,0.300,Monocristallin,2095x1039x35,440 ~ 460,20.2 ~ 21.1,24,Allemagne,132.0
Lion RCM-460-480-6BHF,0.269,"HJT, Bifacial",2094x1038x30,460 ~ 480,21.2 ~ 22.1,27.5,France,123.74000000000001
MSMDxxxM6-60 166 M6 360W-380W Black F...,0.300,Monocristallin,1756x1039x35,360 ~ 380,19.73 ~ 20.83,19.8,Allemagne,108.0
SHARPNUJD545,0.360,PERC,2278x1134x35,545 ~ 550,21.1 ~ 21.3,27.5,Espagne,196.2
MSMDxxxM10-60 440W-460W,0.300,Monocristallin,1909x1134x35,440 ~ 460,20.3 ~ 21.2,24.6,Allemagne,132.0
Lion RCM-680-700-8DBH,0.259,"HJT, Bifacial",2384x1303x35,680 ~ 700,21.9 ~ 22.5,38.7,France,176.12
LONGi SolarLR5-54HPH 405-425M,0.313,Monocristallin,1722x1134x30,405 ~ 425,20.7 ~ 21.8,20.8,Tchèque,126.765
LONGi SolarLR5-72HPH 535-555M,0.300,Monocristallin,2278x1134x35,540 ~ 560,20.9 ~ 21.7,27.5,Tchèque,162.0
CSI SolarHiKu CS3L-370-390MS,0.290,PERC,1765x1048x35,370 ~ 390,20 ~ 21.1,20.5,Espagne,107.3
Trina SolarVertex S TSM-DE09R.08 415-435W,0.295,Monocristallin,1762x1134x30,415 ~ 435,20.8 ~ 21.8,21.8,Tchèque,122.425
AE HM6-72 390W-400W,0.296,Monocristallin,1979x996x35,390 ~ 400,19.79 ~ 20.29,21,Allemagne,115.44
Trina SolarVertex S TSM-DE09R.05 405-425W,0.320,Monocristallin,1762x1134x30,405 ~ 425,20.3 ~ 21.3,21.8,Tchèque,129.6
CSI SolarHiKu7 CS7L580-610MS,0.290,PERC,2172x1303x35,580 ~ 610,20.5 ~ 21.6,31,Espagne,168.2
Trina SolarVertex TSM-DEG21C.20 640-665,0.300,Bifacial,2384x1303x35,640 ~ 665,20.6 ~ 21.4,38.7,Tchèque,192.0
JA SolarJAM60S20 370-395/MR,0.297,Monocristallin,1769x1052x35,370 ~ 395,19.9 ~ 21.2,20.2,Tchèque,109.89
CSI SolarHiKu7 CS7N-640-670MS,0.291,PERC,2384x1303x35,640 ~ 670,20.6 ~ 21.6,34.4,Espagne,186.23999999999998
JA SolarJAM72S20 445-470/MR,0.297,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Tchèque,132.165
JA SolarJAM54S30 395-420/MR,0.294,PERC,1722x1134x30,395 ~ 420,20.2 ~ 21.5,21.5,Tchèque,116.13
JA SolarJAM72S30 530-555/MR,0.290,Monocristallin,2278x1134x35,530 ~ 555,20.5 ~ 21.5,28.1,Tchèque,153.7
AE MC-144 440-450W,0.257,PERC,2094x1038x35,440 ~ 450,20.24 ~ 20.7,23,Allemagne,113.08
Iberian SolarIBS144M2 550W,0.270,PERC,2279x1134x35,550,21.28,28.9,Espagne,148.5
CSI SolarHiKu6 CS6R-395-420MS,0.305,PERC,1722x1134x30,395 ~ 420,20.2 ~ 21.5,21.3,Tchèque,120.475
SHARPNUJD450,0.345,PERC,2108x1048x35,450,20.37,25,Espagne,155.25
CSI SolarHiKu CS3L-370-390MS,0.338,PERC,1765x1048x35,370 ~ 390,20 ~ 21.1,20.5,Tchèque,125.06
CSI SolarHiKu CS3W-445-470MS,0.305,PERC,2108x1048x35,445 ~ 470,20.1 ~ 21.3,24.3,Tchèque,135.725
AE HM6-60 325-335W,0.301,PERC,1665x996x35,325 ~ 335,19.6 ~ 20.2,18.5,Allemagne,97.825
Resun SolarRS8I-M 535-560W,0.297,Monocristallin,2279x1134x35,535 ~ 560,20.69 ~ 21.66,29,Espagne,158.89499999999998
AE MD-144 530-550W,0.253,PERC,2278x1133x35,530 ~ 550,20.6 ~ 21.31,27,Allemagne,134.09
CSI SolarHiKu6 CS6R-395-420MS,0.281,PERC,1722x1134x30,395 ~ 420,20.2 ~ 21.5,21.3,Espagne,110.995
AE HM6L-72 405-415W,0.257,PERC,2015x996x35,405 ~ 415,20.18 ~ 20.68,21,Allemagne,104.08500000000001
Jinko SolarTiger Pro 54HC 400-420W,0.292,Monocristallin,1722x1134x30,400 ~ 420,20.48 ~ 21.51,22,Espagne,116.8
CSI SolarHiKu6 CS6W-530-555MS,0.294,PERC,2261x1134x30,530 ~ 555,20.7 ~ 21.6,27.6,Espagne,155.82
CSI SolarHiKu CS3W-445-470MS,0.289,PERC,2108x1048x35,445 ~ 470,20.1 ~ 21.3,24.3,Espagne,128.605
AE HM6-72 390-400W,0.296,PERC,1979x996x35,390 ~ 400,19.79 ~ 20.29,21,Allemagne,115.44
AE HM6-36 190-200W Hot-Spot Free,0.410,Monocristallin,1530x680x35,190 ~ 200,18.26 ~ 19.22,12.5,Allemagne,77.89999999999999
AEHM6-72 385-395W Full Black,0.310,Monocristallin,1979x996x35,385 ~ 395,19.53 ~ 20.04,21,Allemagne,119.35
AEG SolarAS-M1443-H(M6),0.330,Monocristallin,2094x1038x35,445 ~ 455,20.5 ~ 20.9,23,Tchèque,146.85
AE SMB6-66F 390-400W Thunder,0.302,PERC,1646x1140x35,390 ~ 400,20.8 ~ 21.3,20.5,Allemagne,117.78
Bauer SolarBS-M10HBB 395-405 W,0.368,PERC,1722x1134x30,395 ~ 405,20.23 ~ 20.75,21.4,Tchèque,145.35999999999999
AEG SolarAS-M3407U-S,0.367,Monocristallin,1719x1140x30,400 ~ 410,20.4 ~ 20.9,21,Tchèque,146.8
AE SMB-66E 380-390W Eclipse Plus,0.322,Monocristallin,1646x1140x35,380 ~ 390,20.3 ~ 20.8,20.5,Allemagne,122.36
AEG SolarAS-M3057U-S(G12),0.380,Monocristallin,1812x1096x30,410 ~ 420,20.6 ~ 21.1,20.8,Tchèque,155.8
AE HM6-60 Series 320-335W,0.301,Monocristallin,1690x996x35,320 ~ 335,19.01 ~ 19.9,19,Allemagne,96.32
AE MD-132 485-505W,0.265,Monocristallin,2094x1133x35,485 ~ 505,20.44 ~ 21.29,26,Allemagne,128.525
AE MD-120 440-460W,0.255,Monocristallin,1910x1133x35,440 ~ 460,20.33 ~ 21.26,24,Allemagne,112.2
AE MC-144 430-450W,0.257,Monocristallin,2094x1038x35,430 ~ 450,19.78 ~ 20.7,23,Allemagne,110.51
AE MC-120 360-380W,0.260,Monocristallin,1755x1038x35,360 ~ 380,19.76 ~ 20.86,19.5,Allemagne,93.60000000000001
AE HM72 385-400W,0.296,Monocristallin,2020x996x35,385 ~ 400,19.14 ~ 19.88,21.5,Allemagne,113.96
AE HM6-60 315-335W,0.314,Monocristallin,1665x996x35,315 ~ 335,18.99 ~ 20.2,18.5,Allemagne,98.91
AE HM6-72 380-395W,0.310,Monocristallin,1979x996x35,380 ~ 395,19.28 ~ 20.04,21,Allemagne,117.8
AE HM6L-60 315-325W,0.314,Monocristallin,1692x996x35,315 ~ 325,18.69 ~ 19.29,19,Allemagne,98.91
AE P6-72 325-345W,0.246,Monocristallin,1956x992x35,325 ~ 345,16.75 ~ 17.78,20,Allemagne,79.95
AE ME-120BD 585-600 Double Glass,0.261,Bifacial,2172x1303x35,585 ~ 600,20.7 ~ 21.2,35.3,Allemagne,152.685
AE MC-144 430-445W Double Glass,0.268,Bifacial,2094x1038x35,430 ~ 445,19.8 ~ 20.5,28,Allemagne,115.24000000000001
AE ME-120 585-600W Single Glass,0.261,Bifacial,2172x1303x35,585 ~ 600,20.7 ~ 21.2,30.9,Allemagne,152.685
AE MC-144 430-445W Single Glass,0.266,Bifacial,2094x1038x35,430 ~ 445,19.78 ~ 20.47,23,Allemagne,114.38000000000001
AE MB-60 325-335W,0.301,PERC,1665x996x35,325 ~ 335,19.6 ~ 20.2,18.5,Allemagne,97.825
AE MB-72 390-400W,0.296,PERC,1979x996x35,390 ~ 400,19.79 ~ 20.29,21,Allemagne,115.44
AE MB-120 335-345W,0.293,PERC,1692x996x35,335 ~ 345,19.88 ~ 20.47,19,Allemagne,98.155
AE MB-144 405-415W,0.286,PERC,2015x996x35,405 ~ 415,20.18 ~ 20.68,21,Allemagne,115.82999999999998
AE MC-120 370-380W,0.260,PERC,1755x1038x35,370 ~ 380,20.31 ~ 20.86,19.5,Allemagne,96.2
AE MC-120BD 370-380W,0.272,PERC,1755x1038x35,370 ~ 380,20.31 ~ 20.86,23,Allemagne,100.64
AE MC-120BS 370-380W,0.268,PERC,1755x1038x35,370 ~ 380,20.31 ~ 20.86,19.5,Allemagne,99.16000000000001
AE MC-144BD 440-450W,0.269,PERC,2094x1038x35,440 ~ 450,20.24 ~ 20.7,28,Allemagne,118.36000000000001
AE MC-144BS 440-450W,0.265,PERC,2094x1038x35,440 ~ 450,20.24 ~ 20.7,23,Allemagne,116.60000000000001
AE MD-108 395-415W,0.257,PERC,1724x1133x35,395 ~ 415,20.22 ~ 21.25,21.5,Allemagne,101.515
AE MD-108BD 395-415W,0.272,PERC,1724x1133x35,395 ~ 415,20.22 ~ 21.25,26,Allemagne,107.44000000000001
AE MD-108BS 395-415W,0.268,PERC,1724x1133x35,395 ~ 415,20.22 ~ 21.25,21.5,Allemagne,105.86
AE MD-120BD 440-460W,0.268,PERC,1910x1133x35,440 ~ 460,20.33 ~ 21.26,29,Allemagne,117.92
AE MD-120BS 440-460W,0.266,PERC,1910x1133x35,440 ~ 460,20.33 ~ 21.26,24,Allemagne,117.04
AE MD-132BD 485-505W,0.265,PERC,2094x1133x35,485 ~ 505,20.44 ~ 21.29,31,Allemagne,128.525
AE MD-132BS 485-505W,0.263,PERC,2094x1133x35,485 ~ 505,20.44 ~ 21.29,26,Allemagne,127.555
AE MD-144BD 530-550W,0.263,PERC,2278x1133x35,530 ~ 550,20.6 ~ 21.31,33,Allemagne,139.39000000000001
AE MD-144BS 530-550W,0.262,PERC,2278x1133x35,530 ~ 550,20.6 ~ 21.31,27,Allemagne,138.86
AE595MD-156 575-595W,0.252,PERC,2464x1133x35,575 ~ 595,20.6 ~ 21.31,29,Allemagne,144.9
AE595MD-156BD 575-595W,0.261,PERC,2464x1133x35,575 ~ 595,20.6 ~ 21.31,35,Allemagne,150.07500000000002
AE595MD-156BS 575-595W,0.261,PERC,2464x1133x35,575 ~ 595,20.6 ~ 21.31,29,Allemagne,150.07500000000002
AE ME-120 585-605W,0.252,PERC,2172x1303x35,585 ~ 605,20.67 ~ 21.38,30.9,Allemagne,147.42
AE ME-120BD 585-605W,0.261,PERC,2172x1303x35,585 ~ 605,20.7 ~ 21.4,35.3,Allemagne,152.685
AE ME-120BS 585-605W,0.261,PERC,2172x1303x35,585 ~ 605,20.7 ~ 21.4,30.9,Allemagne,152.685
AE ME-132 645-665W,0.249,PERC,2384x1303x35,645 ~ 665,20.76 ~ 21.41,33.9,Allemagne,160.605
AE ME-132BD 645-665W,0.259,PERC,2384x1303x35,645 ~ 665,20.8 ~ 21.4,41,Allemagne,167.055
AE ME-132BS 645-665W,0.258,PERC,2384x1303x35,645 ~ 665,20.8 ~ 21.4,33.9,Allemagne,166.41
AE MB-60 320-330W Full Black,0.314,PERC,1665x996x35,320 ~ 330,19.2 ~ 19.9,18.5,Allemagne,100.48
AE SMB-36 190-200W,0.410,PERC,1530x680x35,190 ~ 200,18.26 ~ 19.22,12.5,Allemagne,77.89999999999999
AE SMB-60 325-335W,0.359,PERC,1690x996x35,325 ~ 335,19.31 ~ 19.9,19,Allemagne,116.675
Meteor AE CMD-144BD 555-575W,0.290,Monocristallin,2278x1133x35,555 ~ 575,21.5 ~ 22.28,33,Allemagne,160.95
Meteor CMD-120BDS 460-480W,0.294,Monocristallin,1910x1133x30,460 ~ 480,21.26 ~ 22.18,29,Allemagne,135.23999999999998
Meteor CMD-108BDS 410-430W,0.299,Monocristallin,1724x1133x30,410 ~ 430,20.99 ~ 22.01,26,Allemagne,122.58999999999999
Comet TME-110BDS Series 560-580W,0.300,Monocristallin,2383x1095x35,560 ~ 580,21.46 ~ 22.23,32.3,Allemagne,168.0
JA SolarJAM72D20 440-465/MB,0.310,"Bifacial, PERC",2117x1052x35,440 ~ 465,19.8 ~ 20.9,27.3,Pologne,136.4
LONGi SolarLR5-72HPH 535-555M,0.282,Monocristallin,2278x1134x35,540 ~ 560,20.9 ~ 21.7,27.5,Allemagne,152.27999999999997
Risen EnergyRSM40-8-385MB-405MB,0.300,PERC,1754x1096x30,385 ~ 405,20 ~ 21.1,21,Allemagne,115.5
CSI SolarHiKu CS3W430-450P,0.289,PERC,2108x1048x40,450,20.4,24.3,Espagne,130.04999999999998
LONGi SolarLR5-66HPH 495-515M(Australia),0.280,Monocristallin,2093x1134x35,495 ~ 515,20.9 ~ 21.7,25.3,Allemagne,138.60000000000002
Risen EnergyRSM150-8-485-510M,0.274,Monocristallin,2220x1102x35,485 ~ 510,19.8 ~ 20.8,27,Pologne,132.89000000000001
JA SolarJAM72S10 400-420/MR,0.287,Monocristallin,2015x996x35,400 ~ 420,19.9 ~ 20.9,22.7,Pologne,114.8
Jinko SolarTiger Neo N-type 78HL4-BDV 605-625W,0.295,Bifacial,2465x1134x30,605 ~ 625,21.64 ~ 22.36,34.6,Pologne,178.475
Risen EnergyRSM120-8-580-600M,0.280,PERC,2172x1303x35,580 ~ 600,20.5 ~ 21.2,31.5,Allemagne,162.4
JA SolarJAM72S30 530-555/MR,0.269,Monocristallin,2278x1134x35,530 ~ 555,20.5 ~ 21.5,28.1,Allemagne,142.57000000000002
Jinko SolarTiger Neo N-type 54HL4-(V) 410-430W,0.300,Monocristallin,1722x1134x30,410 ~ 430,21 ~ 22.02,22,Pologne,123.0
JA SolarJAM72S20 445-470/MR,0.269,Monocristallin,2112x1052x35,445 ~ 470,20 ~ 21.2,24.5,Allemagne,119.70500000000001
Saronic SolarSR-445-460-120HM,0.300,Monocristallin,1908x1134x35,445 ~ 460,20.56 ~ 21.26,24,Espagne,133.5
Seraphim Solar SystemS4 Series SRP-BMD-HV 400-415 Black Frame,0.289,PERC,1722x1134x28,400 ~ 415,20.48 ~ 21.25,19,Pologne,115.6
